    -1 :       Date     Time   Level Gridsize    Miss :     Minimum        Mean     Maximum : Parameter name
   106 : 1994-05-16 00:00:00       0        1       0 :                  8.0000             : stn           
   107 : 1994-06-16 00:00:00       0        1       0 :                  1.8000             : pre           
   108 : 1994-06-16 00:00:00       0        1       0 :                  8.0000             : stn           
   109 : 1994-07-16 00:00:00       0        1       0 :                  0.0000             : pre           
   110 : 1994-07-16 00:00:00       0        1       0 :                  8.0000             : stn           
   111 : 1994-08-16 00:00:00       0        1       0 :                 0.10000             : pre           
   112 : 1994-08-16 00:00:00       0        1       0 :                  8.0000             : stn           
   113 : 1994-09-16 00:00:00       0        1       0 :                 0.90000             : pre           
   114 : 1994-09-16 00:00:00       0        1       0 :                  8.0000             : stn           
   115 : 1994-10-16 00:00:00       0        1       0 :                  13.400             : pre           
   116 : 1994-10-16 00:00:00       0        1       0 :                  8.0000             : stn           
   117 : 1994-11-16 00:00:00       0        1       0 :                  34.800             : pre           
   118 : 1994-11-16 00:00:00       0        1       0 :                  8.0000             : stn           
   119 : 1994-12-16 00:00:00       0        1       0 :                  43.600             : pre           
   120 : 1994-12-16 00:00:00       0        1       0 :                  8.0000             : stn           
   121 : 1995-01-16 00:00:00       0        1       0 :                  79.100             : pre           
   122 : 1995-01-16 00:00:00       0        1       0 :                  8.0000             : stn           
   123 : 1995-02-15 00:00:00       0        1       0 :                  47.000             : pre           
   124 : 1995-02-15 00:00:00       0        1       0 :                  8.0000             : stn           
   125 : 1995-03-16 00:00:00       0        1       0 :                  64.900             : pre           
   126 : 1995-03-16 00:00:00       0        1       0 :                  8.0000             : stn           
   127 : 1995-04-16 00:00:00       0        1       0 :                  23.700             : pre           
   128 : 1995-04-16 00:00:00       0        1       0 :                  8.0000             : stn           
   129 : 1995-05-16 00:00:00       0        1       0 :                  6.8000             : pre           
   130 : 1995-05-16 00:00:00       0        1       0 :                  8.0000             : stn           
   131 : 1995-06-16 00:00:00       0        1       0 :                  0.0000             : pre           
   132 : 1995-06-16 00:00:00       0        1       0 :                  8.0000             : stn           
   133 : 1995-07-16 00:00:00       0        1       0 :                  0.0000             : pre           
   134 : 1995-07-16 00:00:00       0        1       0 :                  8.0000             : stn           
   135 : 1995-08-16 00:00:00       0        1       0 :                  1.3000             : pre           
   136 : 1995-08-16 00:00:00       0        1       0 :                  8.0000             : stn           
   137 : 1995-09-16 00:00:00       0        1       0 :                 0.30000             : pre           
   138 : 1995-09-16 00:00:00       0        1       0 :                  8.0000             : stn           
   139 : 1995-10-16 00:00:00       0        1       0 :                  4.4000             : pre           
   140 : 1995-10-16 00:00:00       0        1       0 :                  8.0000             : stn           
   141 : 1995-11-16 00:00:00       0        1       0 :                  48.800             : pre           
   142 : 1995-11-16 00:00:00       0        1       0 :                  8.0000             : stn           
   143 : 1995-12-16 00:00:00       0        1       0 :                  24.100             : pre           
   144 : 1995-12-16 00:00:00       0        1       0 :                  8.0000             : stn           
   145 : 1996-01-16 00:00:00       0        1       0 :                  145.00             : pre           
   146 : 1996-01-16 00:00:00       0        1       0 :                  8.0000             : stn           
   147 : 1996-02-15 00:00:00       0        1       0 :                  78.400             : pre           
   148 : 1996-02-15 00:00:00       0        1       0 :                  8.0000             : stn           
   149 : 1996-03-16 00:00:00       0        1       0 :                  22.100             : pre           
   150 : 1996-03-16 00:00:00       0        1       0 :                  8.0000             : stn           
   151 : 1996-04-16 00:00:00       0        1       0 :                  5.1000             : pre           
